problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1045673165,poisson,2.0,11176,42445.6875,pop,random,1.0,16,4,True,inv-cap,total_flow,42445.68888779103,0.01771402359008789
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.5,16,4,True,inv-cap,total_flow,373437.5,0.009988069534301758
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,0,16,4,True,inv-cap,total_flow,2662.4687406504527,0.012771844863891602
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.01022791862487793
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,0.25,16,4,True,inv-cap,total_flow,2662.4687406504527,0.009057044982910156
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,1.0,16,4,True,inv-cap,total_flow,386000.0,0.010269880294799805
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,0.5,16,4,True,inv-cap,total_flow,2662.4687406504527,0.018571138381958008
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0,16,4,True,inv-cap,total_flow,21222.843136713633,0.007928133010864258
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.25,16,4,True,inv-cap,total_flow,21222.843136713633,0.005050182342529297
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,0.75,16,4,True,inv-cap,total_flow,2662.4687406504527,0.02102804183959961
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.5,16,4,True,inv-cap,total_flow,21222.843136713633,0.005463123321533203
UsCarrier.graphml,158,378,63124174,gravity,4.0,24806,2662.46875,pop,random,1.0,16,4,True,inv-cap,total_flow,2662.4687406504527,0.031677961349487305
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.75,16,4,True,inv-cap,total_flow,21222.843136475214,0.008095979690551758
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,0,16,4,True,inv-cap,total_flow,5313.461879800016,0.016282081604003906
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,1.0,16,4,True,inv-cap,total_flow,21222.843136594423,0.005613088607788086
UsCarrier.graphml,158,378,2021178515,gravity,8.0,24805,5313.4619140625,pop,random,0.25,16,4,True,inv-cap,total_flow,5313.461879800016,0.01569509506225586
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0,16,4,True,inv-cap,total_flow,83830.9807275329,0.026732921600341797
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.25,16,4,True,inv-cap,total_flow,218635.2130977466,0.009527921676635742
